Year,Date,Country,City,Deaths,Type,More info
,December 18,Pakistan,Timergara,12,suicide car bomb,Main article: December 2009 Lower Dir mosque bombing
,December15,Pakistan,Dera Ghazi Khan,33,car bomb,Main article: 2009 Dera Ghazi Khan bombing
,December8,Iraq,Baghdad,127,suicide car bombs,Main article: 8 December 2009 Baghdad bombings
,November 19,Pakistan,Peshawar,10,car bomb,Main article: 2009 Peshawar judicial complex bombing
,November 2,Pakistan,Rawalpindi,35,motorcycle bomb,Main article: November 2009 Rawalpindi bombing
,October 28,Pakistan,"Peshawar, North-West Frontier Province",92,car bomb,Main article: 28 October 2009 Peshawar bombing
,October 25,Iraq,Baghdad,155,car bombs (2),Main article: 25 October 2009 Baghdad bombings
,October  12,Pakistan,"Shangla District, Swat Valley",41,suicide car bomb against military vehicle,Main article: 2009 in Pakistan
,October  11,Iraq,"Ramadi, Al Anbar Governorate",26,"coordinated car bombs (3), including one suicide car bomb",Main article: 2009 in Iraq
,October 9,Pakistan,"Peshawar, North-West Frontier Province",48,car bomb,Main article: 9 October 2009 Peshawar bombing
,October  8,Afghanistan,Kabul,17,suicide car bomb,Main article: 2009 Kabul Indian embassy attack
,September 17,Somalia,Mogadishu,21,car bombs (2),Main article: 2009 African Union base bombing in Mogadishu
,August 25,Afghanistan,Kandahar,43,car bomb,Main article: 25 August 2009 Kandahar bombing
,August 15,Afghanistan,Kabul,7,"suicide car bomb, attempted assassination",Main article: 2009 NATO Afghanistan headquarters bombing
,August 19,Iraq,Baghdad,101,car and truck bombs,Main article: 19 August 2009 Baghdad bombings
,"July4–5, 7",Philippines,Mindanao,8,"bombs, car bomb",Main article: July 2009 Mindanao bombings
,June 30,Iraq,Kirkuk,40,suicide car bomb,Main article: 2009 Kirkuk bombing
,June 24,Iraq,Baghdad,65,motorcycle bomb,
,June 20,Iraq,Taza,80,truck bomb,Main article: 20 June 2009 Taza bombing
,June 18,Somalia,Beledweyne,35,car bomb,
,June 10,Iraq,Al Batha,30,car bomb,
,June 9,Pakistan,Peshawar,17,car bomb,Main article: Pearl Continental hotel bombing
,May 27,Pakistan,Lahore,30,"car bomb, shooting",Main article: 2009 Lahore bombing
,May 20,Iraq,Baghdad,38,car bomb,
,April 29,Iraq,Baghdad,52,car bombs (2),Main article: 23 April 2009 Iraqi suicide attacks
,April 6,Iraq,Baghdad,37,car bombs (6),Main article: 6 April 2009 Baghdad bombings
,Feb. 22,Somalia,Mogadishu,11,car bomb,Main article: 2009 African Union base bombing in Mogadishu
2009,Jan. 24,Somalia,Mogadishu,15,car bomb,
,Dec. 28,Pakistan,Buner District,36,car bomb,[5]
,Dec. 5,Pakistan,Peshawar,29,car bomb,Main article: 5 December 2008 Peshawar bombing
,Nov. 6,Pakistan,Bajaur Agency,22,car bomb,[6]
,Oct. 29,Somalia,Bosaso and Hargeisa,30,car bombs (5),Main article: October 2008 Hargeisa–Bosaso bombings
